OBJECTID,Route,RteSuffix,RouteS,PMRouteID,County,District,PMPrefix,bPM,ePM,PMSuffix,bPMc,ePMc,bOdometer,eOdometer,AlignCode,RouteType,Direction,Shape_Length
4182,186,,186,IMP186...L,IMP,11,,0,2.128,,0.0,2.128,0,2.128,Left,State,SB,4025.84467452623
4183,90,,90,ORA090...L,ORA,12,,5.603,8.147,,5.603,8.147,8.425,10.969,Left,State,WB,4966.87596405055
4184,152,,152,SCL152.R.R,SCL,4,R,12.739,12.853,,R12.739,R12.853,23.458,23.572,Right,State,EB,242.625920951004
4185,90,,90,ORA090.R.L,ORA,12,R,5.255,5.601,,R5.255,R5.601,8.079,8.425,Left,State,WB,670.452604386711
4186,90,,90,ORA090...L,ORA,12,,0.5,5.255,,0.5,5.255,3.324,8.079,Left,State,WB,9219.29634952804
4187,90,,90,LA.090.T.L,LA,7,T,3.106,3.278,,T3.106,T3.278,3.152,3.324,Left,State,WB,246.565915689405
4188,90,,90,LA.090...L,LA,7,,2.012,3.106,,2.012,3.106,2.058,3.152,Left,State,WB,2123.27830444599
4189,120,,120,MNO120...L,MNO,9,,30.501,34.5,,30.501,34.5,124.315,128.314,Left,State,WB,8047.1648373044
4190,90,,90,LA.090.R.L,LA,7,R,1.033,2.012,,R1.033,R2.012,1.079,2.058,Left,State,WB,1916.50116956219
4191,90,,90,LA.090...L,LA,7,,0.921,2,,0.921,2.0,0,1.079,Left,State,WB,2108.57157365351
4192,89,,89,SIS089.R.R,SIS,2,R,34.147,34.622,,R34.147,R34.622,242.956,243.431,Right,State,NB,1013.92076586047
4193,89,,89,SIS089...R,SIS,2,,24.007,34.147,,24.007,34.147,232.816,242.956,Right,State,NB,21679.1270488562
4194,89,,89,SIS089...R,SIS,2,,1.8,23.811,,1.8,23.811,210.805,232.816,Right,State,NB,47084.6904534822
4195,89,,89,SIS089.R.R,SIS,2,R,1.209,1.744,,R1.209,R1.744,210.27,210.805,Right,State,NB,1156.55621081011
4196,89,,89,SIS089...R,SIS,2,,0,1.209,,0.0,1.209,209.061,210.27,Right,State,NB,2483.43446774758
4197,89,,89,SHA089...R,SHA,2,,36.201,43.345,,36.201,43.345,201.917,209.061,Right,State,NB,15339.5999515971
4198,132,,132,SJ.132.L.R,SJ,10,L,0,0.738,,L0.0,L0.738,0,0.738,Right,State,EB,1497.99170956888
4199,99,,99,SAC099...R,SAC,3,,32.733,36.863,,32.733,36.863,299.514,303.644,Right,State,NB,8560.3284274796
4200,89,,89,SHA089.R.R,SHA,2,R,35.593,36.186,,R35.593,R36.186,201.324,201.917,Right,State,NB,1274.65653147052
4201,89,,89,SHA089...R,SHA,2,,0,35.593,,0.0,35.593,165.731,201.324,Right,State,NB,75860.0067824458
4202,89,,89,TEH089...R,TEH,2,,0.154,4.403,,0.154,4.403,161.482,165.731,Right,State,NB,8964.56721149379
4203,89,,89,TEH089.R.R,TEH,2,R,0.01,0.154,,R0.01,R0.154,161.338,161.482,Right,State,NB,303.65633972088
4204,115,,115,IMP115.L.L,IMP,11,L,9.54,11.395,,L9.54,L11.395,6.339,8.194,Left,State,SB,3554.7175637555
4205,94,,94,SD.094...R,SD,11,,13.586,16.399,,13.586,16.399,11.981,14.794,Right,State,EB,5383.22927797732
4206,89,,89,PLU089.R.R,PLU,2,R,37.394,42.185,,R37.394,R42.185,156.547,161.338,Right,State,NB,10093.7395492247
4207,89,,89,PLU089...R,PLU,2,,8.72,37.394,,8.72,37.394,127.873,156.547,Right,State,NB,60307.1395618146
4208,89,,89,PLU089...R,PLU,2,,3.192,8.71,,3.192,8.71,122.355,127.873,Right,State,NB,11170.9432837083
4209,151,,151,SHA151...L,SHA,2,,0,5.62,,0.0,5.62,0,5.62,Left,State,WB,11905.7896624387
4210,89,,89,PLU089.R.R,PLU,2,R,2.755,3.177,,R2.755,R3.177,121.933,122.355,Right,State,NB,756.022302139793
4211,101,,101,SB.101...L,SB,5,,16.098,35.983,,16.098,35.983,98.962,118.847,Left,US,SB,38778.8484635243
4212,89,,89,PLU089...R,PLU,2,,2.396,2.755,,2.396,2.755,121.574,121.933,Right,State,NB,506.327230439781
4213,89,,89,PLU089.R.R,PLU,2,R,0.601,2.378,,R0.601,R2.378,119.797,121.574,Right,State,NB,3893.06800888928
4214,110,,110,LA.110..LL,LA,7,,24.525,25.436,L,24.525L,25.436L,23.711,24.622,Left Independent,State,SB,1838.20357999982
4215,89,,89,PLU089...R,PLU,2,,0,0.601,,0.0,0.601,119.196,119.797,Right,State,NB,796.734765066123
4216,89,,89,SIE089...R,SIE,3,,0,29.584,,0.0,29.584,89.612,119.196,Right,State,NB,61750.6839846298
4217,192,,192,SB.192...L,SB,5,,19.211,21.032,,19.211,21.032,19.184,21.005,Left,State,WB,3570.8092927132
4218,89,,89,NEV089...R,NEV,3,,1.138,8.702,,1.138,8.702,82.048,89.612,Right,State,NB,16030.9748964383
4219,94,,94,SD.094.T.L,SD,11,T,17.047,17.172,,T17.047,T17.172,15.482,15.607,Left,State,WB,202.396763803805
4220,89,,89,NEV089.R.R,NEV,3,R,0.53,1.108,,R0.53,R1.108,81.47,82.048,Right,State,NB,1245.66114985171
4221,89,,89,NEV089...R,NEV,3,,0,0.658,,0.0,0.658,80.812,81.47,Right,State,NB,1428.57071905977
4222,101,,101,MRN101.R.R,MRN,4,R,27.015,27.568,,R27.015,R27.568,465.547,466.1,Right,US,NB,1171.63343126072
4223,89,,89,PLA089...R,PLA,3,,8.614,21.677,,8.614,21.677,67.749,80.812,Right,State,NB,27101.9756646576
4224,89,,89,PLA089.T.R,PLA,3,T,8.501,8.673,,T8.501,T8.673,67.577,67.749,Right,State,NB,315.198228908211
4225,89,,89,PLA089...R,PLA,3,,0,8.501,,0.0,8.501,59.076,67.577,Right,State,NB,17669.2006984616
4226,89,,89,ED.089...R,ED,3,,17.98,27.406,,17.98,27.406,49.65,59.076,Right,State,NB,19413.971720111
4227,126,,126,VEN126...R,VEN,7,,16.861,22.559,,16.861,22.559,16.734,22.432,Right,State,EB,11084.1245424731
4228,89,,89,ED.089.R.R,ED,3,R,17.362,17.98,,R17.362,R17.98,49.032,49.65,Right,State,NB,1247.88664583785
4229,89,,89,ED.089...R,ED,3,,8.56,17.362,,8.56,17.362,40.23,49.032,Right,State,NB,17900.4143714401
4230,89,,89,ED.089...R,ED,3,,0,8.55,,0.0,8.55,31.68,40.23,Right,State,NB,17673.5606145142
4231,120,,120,MNO120.R.L,MNO,9,R,34.5,35.011,,R34.5,R35.011,128.314,128.825,Left,State,WB,1028.03754376305
4232,89,,89,ALP089...R,ALP,10,,21.376,23.972,,21.376,23.972,29.084,31.68,Right,State,NB,5345.82669980314
4233,89,,89,ALP089...R,ALP,10,,20.9,21.366,,20.9,21.366,28.618,29.084,Right,State,NB,969.740846819923
4234,89,,89,ALP089.R.R,ALP,10,R,15.462,20.748,,R15.462,R20.748,23.332,28.618,Right,State,NB,10892.7719849314
4235,89,,89,ALP089...R,ALP,10,,0,15.462,,0.0,15.462,7.87,23.332,Right,State,NB,31863.0284230507
4236,101,,101,SM.101.R.L,SM,4,R,20.075,21.185,,R20.075,R21.185,422.263,423.373,Left,US,SB,2273.04567876462
4237,89,,89,MNO089...R,MNO,9,,0,7.596,,0.0,7.596,0.274,7.87,Right,State,NB,15751.5269400754
4238,89,,89,PLA089.R.R,PLA,3,R,8.207,8.481,,R8.207,R8.481,0,0.274,Right,State,NB,520.466623263656
4239,95,,95,SBD095...L,SBD,8,,4.001,57.275,,4.001,57.275,40.578,93.852,Left,US,SB,103987.299891232
4240,89,,89,SIS089.R.L,SIS,2,R,34.147,34.622,,R34.147,R34.622,242.956,243.431,Left,State,SB,1013.9377476232
4241,99,,99,MAD099...R,MAD,6,,0,0.342,,0.0,0.342,143.941,144.283,Right,State,NB,691.010419184449
4242,89,,89,SIS089...L,SIS,2,,24.007,34.147,,24.007,34.147,232.816,242.956,Left,State,SB,21688.8178246835
4243,112,,112,ALA112...L,ALA,4,,0.471,1.782,,0.471,1.782,0.471,1.782,Left,State,WB,2672.3346500592
4244,89,,89,SIS089...L,SIS,2,,1.8,23.811,,1.8,23.811,210.805,232.816,Left,State,SB,47084.6868628108
4245,108,,108,STA108...R,STA,10,,32.444,33.934,,32.444,33.934,10.093,11.583,Right,State,EB,2981.82625855149
