OBJECTID,Route,RteSuffix,RouteS,PMRouteID,County,District,PMPrefix,bPM,ePM,PMSuffix,bPMc,ePMc,bOdometer,eOdometer,AlignCode,RouteType,Direction,Shape_Length
689,33,,33,MER033.R.L,MER,10,R,0,1.173,,R0.0,R1.173,235.662,236.835,Left,State,SB,2369.46042852202
690,49,,49,SIE049.R.R,SIE,3,R,10.241,10.504,,R10.241,R10.504,232.81,233.073,Right,State,NB,571.492615429157
691,33,,33,FRE033...L,FRE,6,,68.605,69.124,,68.605,69.124,221.318,221.837,Left,State,SB,1050.41217063955
692,33,,33,FRE033.R.L,FRE,6,R,62.268,68.54,,R62.268,R68.54,215.046,221.318,Left,State,SB,12676.551558981
693,33,,33,FRE033...L,FRE,6,,40.133,62.268,,40.133,62.268,192.911,215.046,Left,State,SB,44666.6894163381
694,33,,33,FRE033.R.L,FRE,6,R,26.93,29.021,,R26.93,R29.021,190.498,192.589,Left,State,SB,4125.52966225271
695,58,,58,KER058.R.L,KER,9,R,82.744,102.142,,R82.744,R102.142,135.032,154.43,Left,State,WB,38162.9806844427
696,33,,33,FRE033.R.L,FRE,6,R,18.289,18.848,,R18.289,R18.848,181.875,182.434,Left,State,SB,1101.7590226986
697,33,,33,FRE033.R.R,FRE,6,R,79.862,81.817,,R79.862,R81.817,232.475,234.43,Right,State,NB,3946.36537038372
698,33,,33,FRE033.R.L,FRE,6,R,39.824,40.146,,R39.824,R40.146,192.589,192.911,Left,State,SB,651.959149723878
699,33,,33,FRE033...L,FRE,6,,10.8,18.289,,10.8,18.289,174.386,181.875,Left,State,SB,14988.6918379691
700,68,,68,MON068...L,MON,5,,0,3.948,,0.0,3.948,0,3.948,Left,State,WB,7941.14347972013
701,49,,49,NEV049...L,NEV,3,,15.062,21.801,,15.062,21.801,196.522,203.261,Left,State,SB,13987.5733336875
702,33,,33,KIN033...L,KIN,6,,0,18.994,,0.0,18.994,144.549,163.543,Left,State,SB,38382.071354428
703,33,,33,KER033.R.L,KER,6,R,59.322,60.757,,R59.322,R60.757,130.023,131.458,Left,State,SB,2858.58142927879
704,33,,33,KER033...L,KER,6,,11.605,59.322,,11.605,59.322,82.306,130.023,Left,State,SB,93999.3752676691
705,33,,33,KER033.R.L,KER,6,R,11.166,11.639,,R11.166,R11.639,81.833,82.306,Left,State,SB,837.122220815599
706,33,,33,KER033...L,KER,6,,0,11.166,,0.0,11.166,70.667,81.833,Left,State,SB,21820.7744690832
707,33,,33,SLO033...L,SLO,5,,2.802,4.951,,2.802,4.951,68.518,70.667,Left,State,SB,4390.73733893751
708,33,,33,SLO033...L,SLO,5,,0,2.775,,0.0,2.775,65.743,68.518,Left,State,SB,5420.45339585248
709,60,,60,SBD060.R.L,SBD,8,R,0,9.958,,R0.0,R9.958,30.597,40.555,Left,State,WB,19312.5573035671
710,33,,33,VEN033...L,VEN,7,,37.644,57.508,,37.644,57.508,37.695,57.559,Left,State,SB,38950.7046912259
711,33,,33,VEN033.T.L,VEN,7,T,5.676,6.063,,T5.676,T6.063,5.676,6.063,Left,State,SB,773.647266722308
712,32,,32,TEH032.R.R,TEH,2,R,24.799,24.876,,R24.799,R24.876,74.295,74.372,Right,State,EB,165.519914752023
713,32,,32,TEH032.R.R,TEH,2,R,5.192,6.191,,R5.192,R6.191,54.708,55.707,Right,State,EB,1939.78529941116
714,38,,38,SBD038.R.L,SBD,8,R,4.938,5.297,,R4.938,R5.297,4.938,5.297,Left,State,WB,676.865513339224
715,38,,38,SBD038.S.R,SBD,8,S,0.372,0.597,,S0.372,S0.597,59.34,59.565,Right,State,EB,444.368951296813
716,79,,79,SD.079...R,SD,11,,20.23,39.683,,20.23,39.683,22.923,42.376,Right,State,NB,37219.556169472
717,32,,32,TEH032...R,TEH,2,,4.698,5.192,,4.698,5.192,54.214,54.708,Right,State,EB,960.665988340463
718,32,,32,TEH032...R,TEH,2,,0,2.706,,0.0,2.706,49.516,52.222,Right,State,EB,5976.30466584652
719,32,,32,BUT032...R,BUT,3,,37.083,37.749,,37.083,37.749,48.85,49.516,Right,State,EB,1100.60195871542
720,32,,32,BUT032.R.R,BUT,3,R,33.663,37.083,,R33.663,R37.083,45.43,48.85,Right,State,EB,7150.21085673484
721,32,,32,BUT032.RRR,BUT,3,R,8.869,9.571,R,R8.869R,R9.571R,20.168,20.87,Right Independent,State,EB,1381.2354147745
722,32,,32,BUT032...R,BUT,3,,0,8.33,,0.0,8.33,11.299,19.629,Right,State,EB,17367.7151078626
723,32,,32,GLE032.R.R,GLE,3,R,4.232,5.938,,R4.232,R5.938,4.621,6.327,Right,State,EB,3538.19835885075
724,32,,32,GLE032.L.R,GLE,3,L,0,0.205,,L0.0,L0.205,0,0.205,Right,State,EB,413.074626450085
725,32,,32,TEH032...L,TEH,2,,4.698,5.192,,4.698,5.192,54.178,54.672,Left,State,WB,960.665988340463
726,32,,32,BUT032...L,BUT,3,,37.083,37.749,,37.083,37.749,48.814,49.48,Left,State,WB,1100.60195871542
727,35,,35,SCL035.D.L,SCL,4,D,1.648,2.121,,D1.648,D2.121,18.795,19.268,Left,State,SB,887.010066139857
728,32,,32,BUT032.R.L,BUT,3,R,15.332,24.12,,R15.332,R24.12,27.085,35.873,Left,State,WB,18510.9665775165
729,41,,41,MAD041...R,MAD,6,,2.968,40.625,,2.968,40.625,136.365,174.022,Right,State,NB,75991.8329972044
730,32,,32,BUT032..LL,BUT,3,,9.081,10.735,L,9.081L,10.735L,20.834,22.488,Left Independent,State,WB,3341.28264745802
731,32,,32,BUT032...L,BUT,3,,0,8.33,,0.0,8.33,11.299,19.629,Left,State,WB,17368.3195462999
732,32,,32,GLE032...L,GLE,3,,5.938,10.91,,5.938,10.91,6.327,11.299,Left,State,WB,10438.8671466977
733,37,,37,MRN037...L,MRN,4,,11.855,14.617,,11.855,14.617,0.649,3.411,Left,State,WB,5606.58236692038
734,76,,76,SD.076.R.R,SD,11,R,34.459,34.839,,R34.459,R34.839,34.154,34.534,Right,State,EB,721.742939047066
735,32,,32,GLE032...L,GLE,3,,0,4.098,,0.0,4.098,0.523,4.621,Left,State,WB,8598.00418413184
736,37,,37,MRN037.R.R,MRN,4,R,11.2,11.849,,R11.2,R11.849,0,0.649,Right,State,EB,1315.76131422558
737,32,,32,GLE032.R.L,GLE,3,R,0.205,0.523,,R0.205,R0.523,0.205,0.523,Left,State,WB,605.034559540157
738,29,,29,LAK029...R,LAK,1,,50.82,52.539,,50.82,52.539,103.917,105.636,Right,State,NB,3531.86600074578
739,29,,29,LAK029.R.R,LAK,1,R,9.804,10.07,,R9.804,R10.07,64.262,64.528,Right,State,NB,604.673409890497
740,29,,29,LAK029...R,LAK,1,,0,9.804,,0.0,9.804,54.458,64.262,Right,State,NB,20701.3992952818
741,41,,41,KIN041.R.R,KIN,6,R,39.246,48.283,,R39.246,R48.283,91.087,100.124,Right,State,NB,18117.7000281381
742,29,,29,NAP029.R.R,NAP,4,R,46.963,47.171,,R46.963,R47.171,52.861,53.069,Right,State,NB,457.917825027191
743,29,,29,NAP029...R,NAP,4,,20.987,46.963,,20.987,46.963,26.885,52.861,Right,State,NB,53710.3990864217
744,29,,29,NAP029...R,NAP,4,,19.031,20.54,,19.031,20.54,25.046,26.555,Right,State,NB,3145.1627195062
745,29,,29,NAP029...R,NAP,4,,0,1.785,,0.0,1.785,5.955,7.74,Right,State,NB,3702.2704453433
746,36,,36,TEH036.R.R,TEH,2,R,16.4,16.9,,R16.4,R16.9,112.104,112.604,Right,State,EB,1030.84435003319
747,49,,49,SIE049...R,SIE,3,,0,2.937,,0.0,2.937,222.583,225.52,Right,State,NB,6033.76461088263
748,29,,29,SOL029...R,SOL,4,,0,5.955,,0.0,5.955,0,5.955,Right,State,NB,12131.6622942551
749,29,,29,LAK029.R.L,LAK,1,R,34.3,49.449,,R34.3,R49.449,88.768,103.917,Left,State,SB,31436.0857810134
750,37,,37,MRN037.R.L,MRN,4,R,11.2,11.849,,R11.2,R11.849,0,0.649,Left,State,WB,1321.5893601586
751,29,,29,NAP029...L,NAP,4,,47.193,48.582,,47.193,48.582,53.069,54.458,Left,State,SB,2436.00339808819
752,29,,29,NAP029.R.L,NAP,4,R,20.54,20.87,,R20.54,R20.87,26.555,26.885,Left,State,SB,672.959365486635
753,29,,29,NAP029...L,NAP,4,,19.031,20.54,,19.031,20.54,25.046,26.555,Left,State,SB,3141.09512373071
754,29,,29,NAP029...L,NAP,4,,10.305,19.007,,10.305,19.007,16.344,25.046,Left,State,SB,17943.4182956783
755,29,,29,NAP029.R.L,NAP,4,R,5.985,10.389,,R5.985,R10.389,11.94,16.344,Left,State,SB,9086.43659222026
756,33,,33,VEN033...L,VEN,7,,11.21,37.337,,11.21,37.337,11.268,37.395,Left,State,SB,51184.2743386632
757,41,,41,MPA041...R,MPA,10,,1.841,4.918,,1.841,4.918,180.941,184.018,Right,State,NB,6133.62832404882
758,29,,29,NAP029...L,NAP,4,,2.907,5.985,,2.907,5.985,8.862,11.94,Left,State,SB,6261.68847149821
759,29,,29,NAP029.R.L,NAP,4,R,1.785,2.907,,R1.785,R2.907,7.74,8.862,Left,State,SB,2313.85211085373
760,29,,29,NAP029...L,NAP,4,,0,1.785,,0.0,1.785,5.955,7.74,Left,State,SB,3703.04055373577
761,62,,62,SBD062...R,SBD,8,,0,63.034,,0.0,63.034,8.774,71.808,Right,State,EB,122340.036622545
762,28,,28,PLA028...R,PLA,3,,0.085,11.028,,0.085,11.028,0,10.943,Right,State,EB,22743.0903223482
763,28,,28,PLA028...L,PLA,3,,0.085,11.028,,0.085,11.028,0,10.943,Left,State,WB,22790.6438143726
764,27,,27,LA.027...R,LA,7,,18.029,20.062,,18.029,20.062,17.941,19.974,Right,State,NB,3968.41282652619
765,50,,50,YOL050...R,YOL,3,,0,3.156,,0.0,3.156,0,3.156,Right,US,EB,6586.89875241988
766,27,,27,LA.027...R,LA,7,,0,17.411,,0.0,17.411,0,17.411,Right,State,NB,33887.0104703482
767,27,,27,LA.027...L,LA,7,,18.029,20.062,,18.029,20.062,17.941,19.974,Left,State,SB,3964.87344363795
768,27,,27,LA.027.R.L,LA,7,R,17.411,17.941,,R17.411,R17.941,17.411,17.941,Left,State,SB,1040.33421544634
769,29,,29,LAK029.R.R,LAK,1,R,34.3,49.449,,R34.3,R49.449,88.768,103.917,Right,State,NB,31441.6150756436
770,27,,27,LA.027...L,LA,7,,0,17.411,,0.0,17.411,0,17.411,Left,State,SB,33917.7365320547
771,26,,26,CAL026...R,CAL,10,,33.814,38.325,,33.814,38.325,52.954,57.465,Right,State,EB,9179.65194396418
772,58,,58,KER058.R.R,KER,9,R,117.753,143.86,,R117.753,R143.86,169.102,195.209,Right,State,EB,51244.0688130927
773,26,,26,CAL026.R.R,CAL,10,R,0,2.88,,R0.0,R2.88,19.345,22.225,Right,State,EB,5896.40352635446
774,26,,26,SJ.026.R.R,SJ,10,R,15.382,15.77,,R15.382,R15.77,14.249,14.637,Right,State,EB,787.62222562415
775,58,,58,KER058.R.R,KER,6,R,23.781,23.961,,R23.781,R23.961,80.971,81.151,Right,State,EB,355.313162492136
776,40,,40,SBD040...R,SBD,8,,0,0.978,,0.0,0.978,0.794,1.772,Right,Interstate,EB,1799.25768802801
777,51,,51,SAC051...L,SAC,3,,4.353,8.86,,4.353,8.86,4.335,8.842,Left,State,SB,9304.12293879772
778,26,,26,SJ.026...R,SJ,10,,14.27,15.382,,14.27,15.382,13.137,14.249,Right,State,EB,2254.49143889226
779,26,,26,SJ.026...R,SJ,10,,13.076,13.76,,13.076,13.76,11.955,12.639,Right,State,EB,1413.07848230259
780,49,,49,TUO049...L,TUO,10,,11.587,22.417,,11.587,22.417,66.489,77.319,Left,State,SB,22370.7505813978
781,26,,26,SJ.026.R.R,SJ,10,R,12.822,13.07,,R12.822,R13.07,11.707,11.955,Right,State,EB,512.257472046928
782,35,,35,SCL035...L,SCL,4,,0.078,0.23,,0.078,0.23,0.104,0.256,Left,State,SB,300.064878943567
783,68,,68,MON068.R.L,MON,5,R,3.948,4.659,,R3.948,R4.659,4.264,4.975,Left,State,WB,1399.7332905802
784,26,,26,SJ.026...R,SJ,10,,4.375,12.822,,4.375,12.822,3.26,11.707,Right,State,EB,17267.9185532183
785,26,,26,CAL026...L,CAL,10,,33.814,38.325,,33.814,38.325,52.954,57.465,Left,State,WB,9179.65194396418
786,26,,26,CAL026.R.L,CAL,10,R,33.506,33.788,,R33.506,R33.788,52.672,52.954,Left,State,WB,544.907104086921
787,50,,50,ED.050...L,ED,3,,15.273,21.916,,15.273,21.916,43.816,50.459,Left,US,WB,13728.4161946263
788,60,,60,LA.060.R.L,LA,7,R,8.389,8.646,,R8.389,R8.646,8.53,8.787,Left,State,WB,497.087673994015
789,26,,26,CAL026...L,CAL,10,,2.856,4.17,,2.856,4.17,22.225,23.539,Left,State,WB,2623.54258078063
790,26,,26,CAL026.R.L,CAL,10,R,0,2.88,,R0.0,R2.88,19.345,22.225,Left,State,WB,5891.96225461146
791,58,,58,SLO058.R.L,SLO,5,R,34.626,35.357,,R34.626,R35.357,34.626,35.357,Left,State,WB,1421.83796272674
792,26,,26,SJ.026.R.L,SJ,10,R,15.382,15.77,,R15.382,R15.77,14.249,14.637,Left,State,WB,787.62222562415
793,26,,26,SJ.026...L,SJ,10,,14.27,15.382,,14.27,15.382,13.137,14.249,Left,State,WB,2244.24714510754
794,26,,26,SJ.026.R.L,SJ,10,R,13.76,14.258,,R13.76,R14.258,12.639,13.137,Left,State,WB,1028.7595092651
795,26,,26,SJ.026...L,SJ,10,,13.076,13.76,,13.076,13.76,11.955,12.639,Left,State,WB,1413.07848230259
796,26,,26,SJ.026.R.L,SJ,10,R,12.822,13.07,,R12.822,R13.07,11.707,11.955,Left,State,WB,512.257472046928
797,36,,36,LAS036...R,LAS,2,,0,16.786,,0.0,16.786,218.367,235.153,Right,State,EB,35464.1019032141
798,26,,26,SJ.026.R.L,SJ,10,R,4.112,4.37,,R4.112,R4.37,3.002,3.26,Left,State,WB,515.170479401658
799,26,,26,SJ.026...L,SJ,10,,1.11,4.112,,1.11,4.112,0,3.002,Left,State,WB,6152.9799671913
800,78,,78,IMP078.R.R,IMP,11,R,42.657,51.197,,R42.657,R51.197,142.371,150.911,Right,State,EB,16488.4205446276
801,38,,38,SBD038...L,SBD,8,,49.53,53.291,,49.53,53.291,49.175,52.936,Left,State,WB,7336.77080419815
802,25,,25,SBT025...R,SBT,5,,51.628,60.084,,51.628,60.084,63.586,72.042,Right,State,NB,17027.7907836569
803,32,,32,TEH032.R.L,TEH,2,R,5.192,6.191,,R5.192,R6.191,54.672,55.671,Left,State,WB,1939.78529941116
804,35,,35,SF.035...L,SF,4,,0,3.164,,0.0,3.164,50.024,53.188,Left,State,SB,6345.37792846853
805,37,,37,SOL037.R.R,SOL,4,R,0,0.319,,R0.0,R0.319,9.656,9.975,Right,State,EB,643.069054131455
806,25,,25,SBT025...R,SBT,5,,19.164,29.294,,19.164,29.294,30.885,41.015,Right,State,NB,19926.6636135641
807,25,,25,SBT025...R,SBT,5,,0,18.832,,0.0,18.832,11.75,30.582,Right,State,NB,37909.1898946849
808,32,,32,GLE032.R.L,GLE,3,R,4.232,5.938,,R4.232,R5.938,4.621,6.327,Left,State,WB,3538.19835885075
809,62,,62,RIV062...R,RIV,8,,79.476,90.203,,79.476,90.203,88.196,98.923,Right,State,EB,21073.479184763
810,25,,25,SCL025...L,SCL,4,,0,2.56,,0.0,2.56,72.042,74.602,Left,State,SB,5161.37869172691
811,49,,49,NEV049.R.L,NEV,3,R,32.534,32.637,,R32.534,R32.637,213.12,213.223,Left,State,SB,211.790573269201
812,25,,25,SBT025.R.L,SBT,5,R,49.79,52.406,,R49.79,R52.406,60.97,63.586,Left,State,SB,5205.40453923006
813,25,,25,SBT025.R.L,SBT,5,R,29.294,34.315,,R29.294,R34.315,41.015,46.036,Left,State,SB,10153.793514894
814,25,,25,SBT025.R.L,SBT,5,R,18.832,19.135,,R18.832,R19.135,30.582,30.885,Left,State,SB,638.653983429132
815,58,U,58U,SBD058U..R,SBD,8,,1.056,7.932,,1.056,7.932,0,6.876,Right,State,EB,13784.2055080259
816,25,,25,SBT025...L,SBT,5,,0,18.832,,0.0,18.832,11.75,30.582,Left,State,SB,37909.1898946849
817,79,,79,RIV079.R.R,RIV,8,R,4.228,6.787,,R4.228,R6.787,71.563,74.122,Right,State,NB,4847.27841492684
818,71,,71,RIV071...R,RIV,8,,0.028,2.843,,0.028,2.843,13.446,16.261,Right,State,SB,5511.69737266703
819,25,,25,MON025...L,MON,5,,0,11.75,,0.0,11.75,0,11.75,Left,State,SB,23367.4888914613
820,58,,58,SLO058...L,SLO,5,,35.307,57.15,,35.307,57.15,35.357,57.2,Left,State,WB,42733.4001745716
821,24,,24,CC.024...R,CC,4,,8.863,9.684,,8.863,9.684,13.211,14.032,Right,State,EB,1058.28223162278
822,24,,24,CC.024.R.R,CC,4,R,1.748,8.863,,R1.748,R8.863,6.096,13.211,Right,State,EB,14359.6988857892
823,58,,58,KER058...L,KER,6,,0,1.35,,0.0,1.35,57.2,58.55,Left,State,WB,2657.80808318435
824,29,,29,LAK029...R,LAK,1,,10.06,34.3,,10.06,34.3,64.528,88.768,Right,State,NB,50052.2939429692
825,24,,24,CC.024...R,CC,4,,0.502,1.748,,0.502,1.748,4.85,6.096,Right,State,EB,2847.84254267187
826,24,,24,CC.024.R.R,CC,4,R,0,0.456,,R0.0,R0.456,4.394,4.85,Right,State,EB,769.578114582442
827,24,,24,ALA024.R.R,ALA,4,R,1.847,6.241,,R1.847,R6.241,0,4.394,Right,State,EB,8941.15559635101
828,24,,24,CC.024...L,CC,4,,8.863,9.684,,8.863,9.684,13.211,14.032,Left,State,WB,1722.5997141174
829,24,,24,CC.024.R.L,CC,4,R,1.748,8.863,,R1.748,R8.863,6.096,13.211,Left,State,WB,14348.4191538611
830,49,,49,AMA049.R.L,AMA,10,R,6.981,11.022,,R6.981,R11.022,118.938,122.979,Left,State,SB,8318.53133852619
831,74,,74,RIV074...L,RIV,8,,27.54,39.487,,27.54,39.487,33.109,45.056,Left,State,WB,23125.5346743818
832,24,,24,CC.024...L,CC,4,,0.502,1.748,,0.502,1.748,4.85,6.096,Left,State,WB,2870.63847507728
833,24,,24,CC.024.R.L,CC,4,R,0,0.456,,R0.0,R0.456,4.394,4.85,Left,State,WB,668.98904532015
834,24,,24,ALA024.R.L,ALA,4,R,1.847,6.241,,R1.847,R6.241,0,4.394,Left,State,WB,8933.60056846965
835,23,,23,VEN023...R,VEN,7,,24.139,24.165,,24.139,24.165,32.004,32.03,Right,State,NB,50.995532956171
836,23,,23,VEN023.R.R,VEN,7,R,23.374,24.139,,R23.374,R24.139,31.239,32.004,Right,State,NB,1498.70039889353
837,32,,32,BUT032.R.L,BUT,3,R,33.663,37.083,,R33.663,R37.083,45.394,48.814,Left,State,WB,7150.21085673484
838,43,,43,KER043...L,KER,6,,25.187,38.807,,25.187,38.807,25.023,38.643,Left,State,SB,26446.1460203648
839,23,,23,VEN023...R,VEN,7,,21.508,23.38,,21.508,23.38,29.367,31.239,Right,State,NB,3857.10919761932
840,23,,23,VEN023.R.R,VEN,7,R,20.99,21.495,,R20.99,R21.495,28.862,29.367,Right,State,NB,1011.30594004364
841,23,,23,VEN023.T.R,VEN,7,T,11.545,12.26,,T11.545,T12.26,20.054,20.769,Right,State,NB,1385.07629003801
842,23,,23,VEN023.R.R,VEN,7,R,3.339,11.451,,R3.339,R11.451,11.942,20.054,Right,State,NB,15836.7550816887
843,23,,23,VEN023.R.L,VEN,7,R,23.374,24.139,,R23.374,R24.139,31.239,32.004,Left,State,SB,1498.70039889353
844,45,,45,YOL045...R,YOL,3,,0,12.92,,0.0,12.92,0,12.92,Right,State,NB,26658.9739242975
845,23,,23,VEN023...L,VEN,7,,13.37,20.99,,13.37,20.99,21.242,28.862,Left,State,SB,14688.9209349636
846,36,,36,PLU036...R,PLU,2,,5.275,10.534,,5.275,10.534,205.228,210.487,Right,State,EB,10431.8142858376
847,23,,23,VEN023.R.L,VEN,7,R,12.9,13.373,,R12.9,R13.373,20.769,21.242,Left,State,SB,871.747002516778
848,23,,23,VEN023.T.L,VEN,7,T,11.545,12.26,,T11.545,T12.26,20.054,20.769,Left,State,SB,1392.74954078567
849,23,,23,VEN023.R.L,VEN,7,R,3.339,11.451,,R3.339,R11.451,11.942,20.054,Left,State,SB,15825.6683642251
850,23,,23,VEN023.R.L,VEN,7,R,1.569,3.32,,R1.569,R3.32,10.191,11.942,Left,State,SB,3414.51720200266
851,23,,23,VEN023.T.L,VEN,7,T,1.427,1.569,,T1.427,T1.569,10.049,10.191,Left,State,SB,280.723454655377
852,23,,23,LA.023...L,LA,7,,0,8.9,,0.0,8.9,0,8.9,Left,State,SB,17041.5818071369
853,22,,22,ORA022.R.R,ORA,12,R,9.674,13.164,,R9.674,R13.164,11.235,14.725,Right,State,EB,6765.0629698454
854,22,,22,ORA022.R.R,ORA,12,R,0.337,0.65,,R0.337,R0.65,1.804,2.117,Right,State,EB,625.59651347833
855,22,,22,ORA022.T.R,ORA,12,T,0.156,0.337,,T0.156,T0.337,1.623,1.804,Right,State,EB,337.648540284001
856,20,,20,NEV020...R,NEV,3,,43.868,46.119,,43.868,46.119,212.729,214.98,Right,State,EB,4443.29044347155
857,38,,38,SBD038...R,SBD,8,,49.53,53.291,,49.53,53.291,49.175,52.936,Right,State,EB,7336.77080419815
858,20,,20,NEV020.R.R,NEV,3,R,12.302,18.158,,R12.302,R18.158,182.762,188.618,Right,State,EB,12175.1719245532
859,36,,36,HUM036.R.R,HUM,1,R,23.709,24.106,,R23.709,R24.106,23.785,24.182,Right,State,EB,835.838980828677
860,80,,80,ALA080...L,ALA,4,,1.643,6.899,,1.643,6.899,6.972,12.228,Left,Interstate,WB,10633.5633208959
861,20,,20,NEV020...R,NEV,3,,0,0.115,,0.0,0.115,170.65,170.765,Right,State,EB,153.721111614624
862,20,,20,YUB020.R.R,YUB,3,R,17.006,21.475,,R17.006,R21.475,166.181,170.65,Right,State,EB,9367.12383287897
863,20,,20,YUB020...R,YUB,3,,5.851,6.75,,5.851,6.75,154.929,155.828,Right,State,EB,1870.95976038313
864,20,,20,YUB020...R,YUB,3,,0,1.911,,0.0,1.911,149.078,150.989,Right,State,EB,3932.11283569758
865,20,,20,COL020.R.R,COL,3,R,20.84,22.863,,R20.84,R22.863,114.031,116.054,Right,State,EB,4178.56274035484
866,20,,20,YUB020.R.R,YUB,3,R,6.75,8.165,,R6.75,R8.165,155.828,157.243,Right,State,EB,2906.80518014225
867,20,,20,LAK020...R,LAK,1,,41.871,42.2,,41.871,42.2,88.587,88.916,Right,State,EB,629.355593552418
868,20,,20,LAK020.R.R,LAK,1,R,41.277,41.871,,R41.277,R41.871,87.993,88.587,Right,State,EB,1136.61298367166
869,20,,20,MEN020.T.R,MEN,1,T,42.031,42.311,,T42.031,T42.311,44.687,44.967,Right,State,EB,580.476519836127
870,20,,20,MEN020...R,MEN,1,,0.475,4.03,,0.475,4.03,0.448,4.003,Right,State,EB,7398.86417790985
871,20,,20,PLA020...L,PLA,3,,42.463,43.868,,42.463,43.868,211.324,212.729,Left,State,WB,2822.67070693722
872,20,,20,NEV020...L,NEV,3,,19.767,41.287,,19.767,41.287,188.618,210.138,Left,State,WB,44804.8192290963
873,73,,73,ORA073...L,ORA,12,,10,25.405,,10.0,25.405,0,15.405,Left,State,SB,29299.7661256948
874,20,,20,NEV020.R.L,NEV,3,R,3.33,12.253,,R3.33,R12.253,173.839,182.762,Left,State,WB,18300.832340645
875,20,,20,NEV020...L,NEV,3,,1.648,3.33,,1.648,3.33,172.157,173.839,Left,State,WB,3770.74354840365
876,58,,58,SBD058.R.L,SBD,8,R,0,8.144,,R0.0,R8.144,195.209,203.353,Left,State,WB,15899.654080654
877,20,,20,YUB020.R.L,YUB,3,R,17.006,21.475,,R17.006,R21.475,166.181,170.65,Left,State,WB,9369.2079986632
878,41,,41,KIN041...R,KIN,6,,38.44,39.281,,38.44,39.281,90.246,91.087,Right,State,NB,1692.50714614817
879,20,,20,YUB020.L.L,YUB,3,L,13.28,13.378,,L13.28,L13.378,162.455,162.553,Left,State,WB,200.435032929136
880,20,,20,YUB020...L,YUB,3,,5.851,6.75,,5.851,6.75,154.929,155.828,Left,State,WB,1870.95976038313
881,33,,33,KER033...R,KER,6,,60.652,73.743,,60.652,73.743,131.458,144.549,Right,State,NB,26069.4577240074
882,20,,20,YUB020...L,YUB,3,,0,1.911,,0.0,1.911,149.078,150.989,Left,State,WB,3967.81923340566
883,20,,20,SUT020...L,SUT,3,,15.573,17.057,,15.573,17.057,147.594,149.078,Left,State,WB,3050.44131496947
884,78,,78,IMP078.R.L,IMP,11,R,77.758,77.971,,R77.758,R77.971,178.488,178.701,Left,State,WB,443.300411747721
885,50,,50,ED.050.R.L,ED,3,R,8.299,15.273,,R8.299,R15.273,36.842,43.816,Left,US,WB,14367.4663615702
886,20,,20,SUT020...L,SUT,3,,1.332,14.695,,1.332,14.695,133.328,146.691,Left,State,WB,27689.6279111601
887,20,,20,COL020...L,COL,3,,23.713,38.818,,23.713,38.818,116.508,131.613,Left,State,WB,31457.3157796986
888,20,,20,COL020.T.L,COL,3,T,20.23,20.84,,T20.23,T20.84,113.421,114.031,Left,State,WB,1259.43352049252
889,20,,20,COL020...L,COL,3,,1.42,20.23,,1.42,20.23,94.611,113.421,Left,State,WB,38933.7438815126
890,36,,36,TEH036.M.L,TEH,2,M,39.204,39.221,,M39.204,M39.221,134.103,134.12,Left,State,WB,34.6357310416099
891,20,,20,COL020.R.L,COL,3,R,0.332,1.42,,R0.332,R1.42,93.523,94.611,Left,State,WB,2214.81821639435
892,20,,20,COL020...L,COL,3,,0,0.332,,0.0,0.332,93.191,93.523,Left,State,WB,737.188559309841
893,22,,22,LA.022...R,LA,7,,0,1.467,,0.0,1.467,0,1.467,Right,State,EB,2803.88115818066
894,36,,36,TEH036...R,TEH,2,,22.326,23.205,,22.326,23.205,117.821,118.7,Right,State,EB,1817.34295759994
895,20,,20,LAK020...L,LAK,1,,44.528,46.475,,44.528,46.475,91.244,93.191,Left,State,WB,4011.05840457163
896,20,,20,MEN020.R.L,MEN,1,R,37.32,42.031,,R37.32,R42.031,39.976,44.687,Left,State,WB,9789.71873572935
897,20,,20,MEN020...L,MEN,1,,33.217,37.32,,33.217,37.32,35.873,39.976,Left,State,WB,8531.5101786565
898,20,,20,MEN020.R.L,MEN,1,R,8.596,8.82,,R8.596,R8.82,8.547,8.771,Left,State,WB,456.476670267207
899,61,,61,ALA061...R,ALA,4,,15.9,21.967,,15.9,21.967,0.904,6.971,Right,State,NB,12529.7236062582
900,20,,20,MEN020.R.L,MEN,1,R,4.03,4.333,,R4.03,R4.333,4.003,4.306,Left,State,WB,617.062513006158
901,20,,20,MEN020.R.L,MEN,1,R,0,0.448,,R0.0,R0.448,0,0.448,Left,State,WB,954.901119487695
902,41,,41,KIN041.R.L,KIN,6,R,36.727,38.132,,R36.727,R38.132,88.841,90.246,Left,State,SB,2804.26947761802
903,22,,22,ORA022.R.R,ORA,12,R,0.66,9.673,,R0.66,R9.673,2.117,11.13,Right,State,EB,17421.7862526967
904,18,,18,LA.018...R,LA,7,,0,4.5,,0.0,4.5,109.865,114.365,Right,State,NB,9019.74687064893
905,50,,50,ED.050...L,ED,3,,44.46,50.908,,44.46,50.908,72.787,79.235,Left,US,WB,13225.2725615638
906,20,,20,MEN020.R.R,MEN,1,R,0,0.448,,R0.0,R0.448,0,0.448,Right,State,EB,944.456536182356
907,40,,40,SBD040.R.R,SBD,8,R,128.754,144.002,,R128.754,R144.002,129.514,144.762,Right,Interstate,EB,29872.6109448582
